COURSE_ID,DOCUMENT_TYPE,DESCRIPTION
ACCT 3200,course-create,New Course: ACCT 3200
ACCT 5010,course-create,New Course: ACCT 5010
ACCT 5020,course-change,Course Change: ACCT 5020
ACCT 5030,course-change,Course Change: ACCT 5030
ACCT 6100,course-change,Course Change: ACCT 6100
ACCT 6200,course-change,Course Change: ACCT 6200
ACCT 6250,course-create,New Course: ACCT 6250
ACCT 6300,course-change,Course Change: ACCT 6300
ACCT 6400,course-change,Course Change: ACCT 6400
ACCT 6500,course-change,Course Change: ACCT 6500
ACCT 6800,course-change,Course Change: ACCT 6800
AT 5910,course-change,Course Change: AT 5910
BIOS 1100,course-change,Course Change: BIOS 1100
BIOS 2225,course-create,New Course: BIOS 2225
BIOS 4100,course-create,New Course: BIOS 4100 / BIOS 5100
BIOS 5100,course-create,New Course: BIOS 4100 / BIOS 5100
CAS 2402,course-create,New Course: CAS 2402
CAS 5720,course-create,New Course: CAS 5720
CE 4001,course-create,New Course: CE 4001
CHE 1100,course-create,New Course: CHE 1100
CHEM 4610,course-create,New Course: CHEM 4610 / CHEM 5610
CHEM 5610,course-create,New Course: CHEM 4610 / CHEM 5610
CONS 3100,course-change,Course Change: CONS 3100
CONS 3400,course-change,Course Change: CONS 3400
CONS 3890,course-change,Course Change: CONS 3890
CONS 4935,course-change,Course Change: CONS 4935
CONS 4952,course-change,Course Change: CONS 4952 / CONS 5952
CONS 4961,course-change,Course Change: CONS 4961 / CONS 5961
CONS 5952,course-change,Course Change: CONS 4952 / CONS 5952
CONS 5961,course-change,Course Change: CONS 4961 / CONS 5961
DANC 3150,course-change,Course Change: DANC 3150 to DANC 3150 / DANC 5150
DANC 3230,course-change,Course Change: DANC 3230 to DANC 3230 / DANC 5230
DANC 3250,course-change,Course Change: DANC 3250 to DANC 3250 / DANC 5250
DANC 4750,course-change,Course Change: DANC 4750 to DANC 4750 / DANC 5750
DANC 5150,course-change,Course Change: DANC 3150 to DANC 3150 / DANC 5150
DANC 5230,course-change,Course Change: DANC 3230 to DANC 3230 / DANC 5230
DANC 5250,course-change,Course Change: DANC 3250 to DANC 3250 / DANC 5250
DANC 5750,course-change,Course Change: DANC 4750 to DANC 4750 / DANC 5750
EDAD 6000,course-create,New Course: EDAD 6000
EDPL 3920,course-change,Course Change: EDPL 3920
EDRE 7710,course-create,New Course: EDRE 7710
EDTE 3730,course-change,Course Change: EDTE 3730
ELIP 1300,course-change,Course Change: ELIP 1300
ETM 3820,course-change,Course Change: ETM 3820
FILM 2050,course-create,New Course: FILM 2050
